2020-05-29 09:36:08.037968	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bed+narrowPeak&award.project=ENCODE&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR000EEZ/	ENCSR000EEZ	MAX	MAX	GEO:GSM935572,FactorBook:ENCSR000EEZ,UCSC-ENCODE-hg19:wgEncodeEH000768
/experiments/ENCSR000EBZ/	ENCSR000EBZ	JUND	JUND	UCSC-ENCODE-hg19:wgEncodeEH002023,FactorBook:ENCSR000EBZ,GEO:GSM935434
/experiments/ENCSR000DWE/	ENCSR000DWE	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH000399,FactorBook:ENCSR000DWE,GEO:GSM749733
/experiments/ENCSR000DOZ/	ENCSR000DOZ	STAT3	STAT3	FactorBook:ENCSR000DOZ,GEO:GSM935591,UCSC-ENCODE-hg19:wgEncodeEH001772
/experiments/ENCSR000BMH/	ENCSR000BMH	YY1	YY1	UCSC-ENCODE-hg19:wgEncodeEH001623,FactorBook:ENCSR000BMH,GEO:GSM803470
/experiments/ENCSR000BNN/	ENCSR000BNN	THAP1	THAP1	UCSC-ENCODE-hg19:wgEncodeEH001655,FactorBook:ENCSR000BNN,GEO:GSM803408
/experiments/ENCSR000DTL/	ENCSR000DTL	CTCF	CTCF	GEO:GSM749745,FactorBook:ENCSR000DTL,UCSC-ENCODE-hg19:wgEncodeEH000983
/experiments/ENCSR000EVQ/	ENCSR000EVQ	TCF7L2	TCF7L2	UCSC-ENCODE-hg19:wgEncodeEH001780,GEO:GSM782122,FactorBook:ENCSR000EVQ
/experiments/ENCSR000DRE/	ENCSR000DRE	CTCF	CTCF	FactorBook:ENCSR000DRE,GEO:GSM749740,UCSC-ENCODE-hg19:wgEncodeEH000448
/experiments/ENCSR000BSU/	ENCSR000BSU	JUND	JUND	FactorBook:ENCSR000BSU,GEO:GSM1010892,UCSC-ENCODE-hg19:wgEncodeEH003236
/experiments/ENCSR000EGX/	ENCSR000EGX	MAFK	MAFK	GEO:GSM935311,FactorBook:ENCSR000EGX,UCSC-ENCODE-hg19:wgEncodeEH001844
/experiments/ENCSR000BNJ/	ENCSR000BNJ	HNF4G	HNF4G	FactorBook:ENCSR000BNJ,UCSC-ENCODE-hg19:wgEncodeEH001651,GEO:GSM803404
/experiments/ENCSR000BNQ/	ENCSR000BNQ	BCL3	BCL3	UCSC-ENCODE-hg19:wgEncodeEH001658,GEO:GSM803342,FactorBook:ENCSR000BNQ
/experiments/ENCSR000BNH/	ENCSR000BNH	CTCF	CTCF	GEO:GSM803419,UCSC-ENCODE-hg19:wgEncodeEH001649,FactorBook:ENCSR000BNH
/experiments/ENCSR000DLB/	ENCSR000DLB	CTCF	CTCF	FactorBook:ENCSR000DLB,UCSC-ENCODE-hg19:wgEncodeEH003456,GEO:GSM1006869
/experiments/ENCSR000ECL/	ENCSR000ECL	MAZ	MAZ	GEO:GSM935272,FactorBook:ENCSR000ECL,UCSC-ENCODE-hg19:wgEncodeEH002855
/experiments/ENCSR000BQL/	ENCSR000BQL	NFATC1	NFATC1	UCSC-ENCODE-hg19:wgEncodeEH002307,FactorBook:ENCSR000BQL,GEO:GSM1010779
/experiments/ENCSR000DYC/	ENCSR000DYC	MYC	MYC	UCSC-ENCODE-hg19:wgEncodeEH003385,GEO:GSM1003607,FactorBook:ENCSR000DYC
/experiments/ENCSR000BQV/	ENCSR000BQV	SP4	SP4	UCSC-ENCODE-hg19:wgEncodeEH002317,FactorBook:ENCSR000BQV,GEO:GSM1010743
/experiments/ENCSR000EUK/	ENCSR000EUK	ZNF274	ZNF274	FactorBook:ENCSR000EUK,GEO:GSM935349,UCSC-ENCODE-hg19:wgEncodeEH001756
/experiments/ENCSR000EFI/	ENCSR000EFI	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH002831,GEO:GSM935404,FactorBook:ENCSR000EFI
/experiments/ENCSR000EFY/	ENCSR000EFY	ARID3A	ARID3A	GEO:GSM935336,UCSC-ENCODE-hg19:wgEncodeEH002861,FactorBook:ENCSR000EFY
/experiments/ENCSR618HNF/	ENCSR618HNF	TRIM28	TRIM28	FactorBook:ENCSR618HNF
/experiments/ENCSR000DTI/	ENCSR000DTI	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH001894,FactorBook:ENCSR000DTI,GEO:GSM1022677
/experiments/ENCSR000DLZ/	ENCSR000DLZ	MYC	MYC	GEO:GSM822310,UCSC-ENCODE-hg19:wgEncodeEH000536,FactorBook:ENCSR000DLZ
/experiments/ENCSR000DKV/	ENCSR000DKV	CTCF	CTCF	FactorBook:ENCSR000DKV,UCSC-ENCODE-hg19:wgEncodeEH000532,GEO:GSM822312
/experiments/ENCSR000BMX/	ENCSR000BMX	GATA3	GATA3	FactorBook:ENCSR000BMX,GEO:GSM803514,UCSC-ENCODE-hg19:wgEncodeEH001639
/experiments/ENCSR000EWE/	ENCSR000EWE	ZNF274	ZNF274	GEO:GSM935479,FactorBook:ENCSR000EWE,UCSC-ENCODE-hg19:wgEncodeEH000696
/experiments/ENCSR000BKU/	ENCSR000BKU	YY1	YY1	UCSC-ENCODE-hg19:wgEncodeEH001584,GEO:GSM803446,FactorBook:ENCSR000BKU
/experiments/ENCSR000EVJ/	ENCSR000EVJ	E2F1	E2F1	FactorBook:ENCSR000EVJ,UCSC-ENCODE-hg19:wgEncodeEH000699,GEO:GSM935484
/experiments/ENCSR000BHB/	ENCSR000BHB	EP300	EP300	FactorBook:ENCSR000BHB,GEO:GSM803387,UCSC-ENCODE-hg19:wgEncodeEH001487
/experiments/ENCSR000DZV/	ENCSR000DZV	STAT3	STAT3	GEO:GSM935557,FactorBook:ENCSR000DZV,UCSC-ENCODE-hg19:wgEncodeEH001811
/experiments/ENCSR000EFZ/	ENCSR000EFZ	UBTF	UBTF	GEO:GSM935642,FactorBook:ENCSR000EFZ,UCSC-ENCODE-hg19:wgEncodeEH002850
/experiments/ENCSR000BGF/	ENCSR000BGF	REST	REST	FactorBook:ENCSR000BGF,GEO:GSM803349,UCSC-ENCODE-hg19:wgEncodeEH001465
/experiments/ENCSR000DPM/	ENCSR000DPM	CTCF	CTCF	FactorBook:ENCSR000DPM,UCSC-ENCODE-hg19:wgEncodeEH000976,GEO:GSM749769
/experiments/ENCSR000BPM/	ENCSR000BPM	YY1	YY1	UCSC-ENCODE-hg19:wgEncodeEH002282,GEO:GSM1010794,FactorBook:ENCSR000BPM
/experiments/ENCSR000EUZ/	ENCSR000EUZ	TRIM28	TRIM28	FactorBook:ENCSR000EUZ,GEO:GSM935592,UCSC-ENCODE-hg19:wgEncodeEH001779
/experiments/ENCSR000BMF/	ENCSR000BMF	USF1	USF1	GEO:GSM803472,FactorBook:ENCSR000BMF,UCSC-ENCODE-hg19:wgEncodeEH001621
/experiments/ENCSR000EGQ/	ENCSR000EGQ	NFYB	NFYB	UCSC-ENCODE-hg19:wgEncodeEH002024,GEO:GSM935429,FactorBook:ENCSR000EGQ
/experiments/ENCSR000BQG/	ENCSR000BQG	SP2	SP2	UCSC-ENCODE-hg19:wgEncodeEH002302,GEO:GSM1010776,FactorBook:ENCSR000BQG
/experiments/ENCSR000EHY/	ENCSR000EHY	RFX5	RFX5	UCSC-ENCODE-hg19:wgEncodeEH003375,FactorBook:ENCSR000EHY,GEO:GSM1003629
/experiments/ENCSR000BRP/	ENCSR000BRP	TEAD4	TEAD4	UCSC-ENCODE-hg19:wgEncodeEH002345,FactorBook:ENCSR000BRP,GEO:GSM1010875
/experiments/ENCSR000DSZ/	ENCSR000DSZ	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH001893,GEO:GSM1022662,FactorBook:ENCSR000DSZ
/experiments/ENCSR000AHD/	ENCSR000AHD	CTCF	CTCF	FactorBook:ENCSR000AHD,GEO:GSM1010734,UCSC-ENCODE-hg19:wgEncodeEH003257
/experiments/ENCSR000BND/	ENCSR000BND	ZEB1	ZEB1	UCSC-ENCODE-hg19:wgEncodeEH001645,GEO:GSM803411,FactorBook:ENCSR000BND
/experiments/ENCSR000BIU/	ENCSR000BIU	USF1	USF1	FactorBook:ENCSR000BIU,UCSC-ENCODE-hg19:wgEncodeEH001532,GEO:GSM803426
/experiments/ENCSR000DRI/	ENCSR000DRI	CTCF	CTCF	FactorBook:ENCSR000DRI,UCSC-ENCODE-hg19:wgEncodeEH002051,GEO:GSM849300
/experiments/ENCSR000EUL/	ENCSR000EUL	NR2C2	NR2C2	GEO:GSM935480,FactorBook:ENCSR000EUL,UCSC-ENCODE-hg19:wgEncodeEH000697
/experiments/ENCSR000DWY/	ENCSR000DWY	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH002548,FactorBook:ENCSR000DWY,GEO:GSM1022626
/experiments/ENCSR000BNT/	ENCSR000BNT	YY1	YY1	UCSC-ENCODE-hg19:wgEncodeEH001661,FactorBook:ENCSR000BNT,GEO:GSM803381
/experiments/ENCSR000DWN/	ENCSR000DWN	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH001898,FactorBook:ENCSR000DWN,GEO:GSM1022643
/experiments/ENCSR000BMU/	ENCSR000BMU	POU5F1	POU5F1	FactorBook:ENCSR000BMU,UCSC-ENCODE-hg19:wgEncodeEH001636,GEO:GSM803438
/experiments/ENCSR000DKN/	ENCSR000DKN	CTCF	CTCF	FactorBook:ENCSR000DKN,UCSC-ENCODE-hg19:wgEncodeEH001135,GEO:GSM822303
/experiments/ENCSR000AUE/	ENCSR000AUE	CTCF	CTCF	FactorBook:ENCSR000AUE,GEO:GSM1003582,UCSC-ENCODE-hg19:wgEncodeEH003114
/experiments/ENCSR000DYU/	ENCSR000DYU	SREBF1	SREBF1	FactorBook:ENCSR000DYU,GEO:GSM1003617,UCSC-ENCODE-hg19:wgEncodeEH003362
/experiments/ENCSR000DNM/	ENCSR000DNM	NFYB	NFYB	UCSC-ENCODE-hg19:wgEncodeEH002065,FactorBook:ENCSR000DNM,GEO:GSM935507
/experiments/ENCSR000BIQ/	ENCSR000BIQ	SIX5	SIX5	UCSC-ENCODE-hg19:wgEncodeEH001528,GEO:GSM803405,FactorBook:ENCSR000BIQ
/experiments/ENCSR000EGU/	ENCSR000EGU	IRF1	IRF1	FactorBook:ENCSR000EGU,UCSC-ENCODE-hg19:wgEncodeEH001865,GEO:GSM935546
/experiments/ENCSR000DRZ/	ENCSR000DRZ	CTCF	CTCF	FactorBook:ENCSR000DRZ,GEO:GSM749706,UCSC-ENCODE-hg19:wgEncodeEH000394
/experiments/ENCSR000EWT/	ENCSR000EWT	TCF7L2	TCF7L2	UCSC-ENCODE-hg19:wgEncodeEH002072,GEO:GSM816438,FactorBook:ENCSR000EWT
/experiments/ENCSR584GHV/	ENCSR584GHV	NFE2L2	NFE2L2	GEO:GSE91894,FactorBook:ENCSR584GHV
/experiments/ENCSR000BRD/	ENCSR000BRD	FOXA1	FOXA1	UCSC-ENCODE-hg19:wgEncodeEH002325,FactorBook:ENCSR000BRD,GEO:GSM1010725
