2020-05-29 09:37:11.997665	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&award.project=GGR&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR215UXN/	ENCSR215UXN	BCL3	BCL3	GEO:GSE91220,FactorBook:ENCSR215UXN
/experiments/ENCSR090RGB/	ENCSR090RGB	JUN	JUN	GEO:GSE92785,FactorBook:ENCSR090RGB
/experiments/ENCSR851SOK/	ENCSR851SOK	CTCF	CTCF	FactorBook:ENCSR851SOK,GEO:GSE92830
/experiments/ENCSR336VBV/	ENCSR336VBV	CTCF	CTCF	GEO:GSE92800,FactorBook:ENCSR336VBV
/experiments/ENCSR761RDU/	ENCSR761RDU	JUN	JUN	GEO:GSE92826,FactorBook:ENCSR761RDU
/experiments/ENCSR167QIJ/	ENCSR167QIJ	EP300	EP300	FactorBook:ENCSR167QIJ
/experiments/ENCSR664ZHF/	ENCSR664ZHF	JUN	JUN	GEO:GSE92820,FactorBook:ENCSR664ZHF
/experiments/ENCSR876UZD/	ENCSR876UZD	CTCF	CTCF	GEO:GSE92832,FactorBook:ENCSR876UZD
/experiments/ENCSR793HZD/	ENCSR793HZD	JUN	JUN	GEO:GSE92828,FactorBook:ENCSR793HZD
/experiments/ENCSR904OTM/	ENCSR904OTM	BCL3	BCL3	FactorBook:ENCSR904OTM,GEO:GSE91352
/experiments/ENCSR561ZRE/	ENCSR561ZRE	EP300	EP300	GEO:GSE91289,FactorBook:ENCSR561ZRE
/experiments/ENCSR103UVU/	ENCSR103UVU	FOSL2	FOSL2	FactorBook:ENCSR103UVU,GEO:GSE91202
/experiments/ENCSR111ZXV/	ENCSR111ZXV	FOSL2	FOSL2	FactorBook:ENCSR111ZXV,GEO:GSE91204
/experiments/ENCSR535HFQ/	ENCSR535HFQ	FOSL2	FOSL2	GEO:GSE91279,FactorBook:ENCSR535HFQ
/experiments/ENCSR274WRI/	ENCSR274WRI	FOSL2	FOSL2	GEO:GSE91233,FactorBook:ENCSR274WRI
/experiments/ENCSR646EFO/	ENCSR646EFO	HES2	HES2	GEO:GSE91308,FactorBook:ENCSR646EFO
/experiments/ENCSR124VXG/	ENCSR124VXG	EP300	EP300	FactorBook:ENCSR124VXG,GEO:GSE91205
/experiments/ENCSR690HWX/	ENCSR690HWX	HES2	HES2	FactorBook:ENCSR690HWX,GEO:GSE91320
/experiments/ENCSR593DGU/	ENCSR593DGU	FOSL2	FOSL2	FactorBook:ENCSR593DGU,GEO:GSE91293
/experiments/ENCSR249JOH/	ENCSR249JOH	CTCF	CTCF	FactorBook:ENCSR249JOH,GEO:GSE92794
/experiments/ENCSR473CRE/	ENCSR473CRE	BCL3	BCL3	GEO:GSE91270,FactorBook:ENCSR473CRE
/experiments/ENCSR911KBJ/	ENCSR911KBJ	HES2	HES2	FactorBook:ENCSR911KBJ,GEO:GSE91355
/experiments/ENCSR242EWU/	ENCSR242EWU	FOSL2	FOSL2	FactorBook:ENCSR242EWU,GEO:GSE91224
/experiments/ENCSR708DGM/	ENCSR708DGM	JUN	JUN	GEO:GSE92823,FactorBook:ENCSR708DGM
/experiments/ENCSR991VVW/	ENCSR991VVW	JUN	JUN	FactorBook:ENCSR991VVW,GEO:GSE92834
/experiments/ENCSR130TQM/	ENCSR130TQM	CTCF	CTCF	FactorBook:ENCSR130TQM,GEO:GSE92786
/experiments/ENCSR991RJM/	ENCSR991RJM	JUN	JUN	GEO:GSE92833,FactorBook:ENCSR991RJM
/experiments/ENCSR639KFO/	ENCSR639KFO	BCL3	BCL3	FactorBook:ENCSR639KFO,GEO:GSE91307
/experiments/ENCSR288EPV/	ENCSR288EPV	BCL3	BCL3	FactorBook:ENCSR288EPV,GEO:GSE91236
/experiments/ENCSR686BQM/	ENCSR686BQM	EP300	EP300	FactorBook:ENCSR686BQM,GEO:GSE91317
/experiments/ENCSR190VMK/	ENCSR190VMK	CEBPB	CEBPB	GEO:GSE91217,FactorBook:ENCSR190VMK
/experiments/ENCSR048CVK/	ENCSR048CVK	JUN	JUN	FactorBook:ENCSR048CVK,GEO:GSE92783
/experiments/ENCSR173IEA/	ENCSR173IEA	CTCF	CTCF	GEO:GSE92789,FactorBook:ENCSR173IEA
/experiments/ENCSR504LBE/	ENCSR504LBE	JUN	JUN	FactorBook:ENCSR504LBE,GEO:GSE92812
/experiments/ENCSR602BTS/	ENCSR602BTS	EP300	EP300	FactorBook:ENCSR602BTS
/experiments/ENCSR458VTP/	ENCSR458VTP	NR3C1	NR3C1	FactorBook:ENCSR458VTP
/experiments/ENCSR612GKD/	ENCSR612GKD	JUN	JUN	FactorBook:ENCSR612GKD,GEO:GSE92817
/experiments/ENCSR414CQB/	ENCSR414CQB	CTCF	CTCF	GEO:GSE92805,FactorBook:ENCSR414CQB
/experiments/ENCSR919OXR/	ENCSR919OXR	NR3C1	NR3C1	GEO:GSE91357,FactorBook:ENCSR919OXR
/experiments/ENCSR287FWE/	ENCSR287FWE	NR3C1	NR3C1	FactorBook:ENCSR287FWE,GEO:GSE91235
/experiments/ENCSR628MQN/	ENCSR628MQN	JUN	JUN	FactorBook:ENCSR628MQN
/experiments/ENCSR716SJK/	ENCSR716SJK	JUN	JUN	FactorBook:ENCSR716SJK
/experiments/ENCSR857QEA/	ENCSR857QEA	NR3C1	NR3C1	FactorBook:ENCSR857QEA
/experiments/ENCSR192PBJ/	ENCSR192PBJ	JUN	JUN	FactorBook:ENCSR192PBJ
/experiments/ENCSR604CKQ/	ENCSR604CKQ	JUN	JUN	FactorBook:ENCSR604CKQ
/experiments/ENCSR471EKW/	ENCSR471EKW	NR3C1	NR3C1	FactorBook:ENCSR471EKW
/experiments/ENCSR673OGC/	ENCSR673OGC	BCL3	BCL3	FactorBook:ENCSR673OGC,GEO:GSE91314
/experiments/ENCSR467VXG/	ENCSR467VXG	EP300	EP300	GEO:GSE91269,FactorBook:ENCSR467VXG
/experiments/ENCSR701TCU/	ENCSR701TCU	CEBPB	CEBPB	GEO:GSE91324,FactorBook:ENCSR701TCU
/experiments/ENCSR686BIE/	ENCSR686BIE	HES2	HES2	FactorBook:ENCSR686BIE,GEO:GSE91316
/experiments/ENCSR447ZMS/	ENCSR447ZMS	CEBPB	CEBPB	FactorBook:ENCSR447ZMS,GEO:GSE91265
/experiments/ENCSR555AYD/	ENCSR555AYD	BCL3	BCL3	FactorBook:ENCSR555AYD,GEO:GSE91287
/experiments/ENCSR419TWL/	ENCSR419TWL	HES2	HES2	GEO:GSE91259,FactorBook:ENCSR419TWL
/experiments/ENCSR044IFH/	ENCSR044IFH	EP300	EP300	FactorBook:ENCSR044IFH
/experiments/ENCSR022WVP/	ENCSR022WVP	JUN	JUN	FactorBook:ENCSR022WVP
/experiments/ENCSR424JOE/	ENCSR424JOE	NR3C1	NR3C1	FactorBook:ENCSR424JOE,GEO:GSE91260
/experiments/ENCSR773NQB/	ENCSR773NQB	NR3C1	NR3C1	FactorBook:ENCSR773NQB,GEO:GSE91333
/experiments/ENCSR686PFM/	ENCSR686PFM	NR3C1	NR3C1	GEO:GSE91319,FactorBook:ENCSR686PFM
/experiments/ENCSR952GOL/	ENCSR952GOL	NR3C1	NR3C1	FactorBook:ENCSR952GOL,GEO:GSE91365
/experiments/ENCSR660RYY/	ENCSR660RYY	NR3C1	NR3C1	GEO:GSE91313,FactorBook:ENCSR660RYY
/experiments/ENCSR036EGV/	ENCSR036EGV	CTCF	CTCF	FactorBook:ENCSR036EGV
/experiments/ENCSR812FNU/	ENCSR812FNU	CTCF	CTCF	FactorBook:ENCSR812FNU
/experiments/ENCSR255CTA/	ENCSR255CTA	NR3C1	NR3C1	FactorBook:ENCSR255CTA,GEO:GSE91228
/experiments/ENCSR720DXT/	ENCSR720DXT	NR3C1	NR3C1	FactorBook:ENCSR720DXT,GEO:GSE91327
/experiments/ENCSR385RUW/	ENCSR385RUW	NR3C1	NR3C1	FactorBook:ENCSR385RUW,GEO:GSE91254
/experiments/ENCSR691GRA/	ENCSR691GRA	NR3C1	NR3C1	FactorBook:ENCSR691GRA,GEO:GSE91322
/experiments/ENCSR817HTJ/	ENCSR817HTJ	CTCF	CTCF	FactorBook:ENCSR817HTJ
