481	JUN	1.1.1.1.1	ENCODE::GGR
482	JUND	1.1.1.1.3	ENCODE
483	KDM6A		ENCODE
484	KLF1	2.3.1.2.1	ENCODE
485	KLF10	2.3.1.2.10	ENCODE
486	KLF11	2.3.1.2.11	ENCODE
487	KLF13	2.3.1.2.13	ENCODE
488	KLF14	2.3.1.2.14	ENCODE
489	KLF16	2.3.1.2.16	ENCODE
490	KLF17	2.3.1.2.17	ENCODE
491	KLF4	2.3.1.2.4	ENCODE
492	KLF5	2.3.1.2.5	ENCODE
493	KLF6	2.3.1.2.6	ENCODE
494	KLF7	2.3.1.2.7	ENCODE
495	KLF8	2.3.1.2.8	ENCODE
496	KLF9	2.3.1.2.9	ENCODE
497	LCORL		ENCODE
498	LEF1	4.1.3.0.4	ENCODE
499	MAFF	1.1.3.2.1	ENCODE
500	MAFG	1.1.3.2.2	ENCODE
501	MAFK	1.1.3.2.3	ENCODE
502	MAX	1.2.6.5.5	ENCODE
503	MAZ	2.3.4.8.1	ENCODE
504	MBD1	2.6.1.0.2	ENCODE
505	MEF2A	5.1.1.1.1	ENCODE
506	MEF2B	5.1.1.1.2	ENCODE
507	MEF2C	5.1.1.1.3	ENCODE
508	MEF2D	5.1.1.1.4	ENCODE
509	MEIS2	3.1.4.2.2	ENCODE
510	MGA	6.5.5.0.2	ENCODE
511	MITF	1.2.6.1.4	ENCODE
512	MIXL1	3.1.3.14.1	ENCODE
513	MLLT1		ENCODE
514	MLX	1.2.6.6.1	ENCODE
515	MNT	1.2.6.7.6	ENCODE
516	MXD3	1.2.6.7.2	ENCODE
517	MXI1	1.2.6.7.5	ENCODE
518	MYBL2	3.5.1.1.3	ENCODE
519	MYC	1.2.6.5.1	ENCODE
520	MYNN	2.3.3.0.54	ENCODE
521	MYRF	6.6.1.0.1	ENCODE
522	MZF1	2.3.3.0.152	ENCODE
523	NANOG	3.1.2.12.1	ENCODE
524	NEUROD1	1.2.3.4.1	ENCODE
525	NFATC1	6.1.3.0.1	ENCODE
526	NFATC3	6.1.3.0.3	ENCODE
527	NFE2	1.1.1.2.1	ENCODE
528	NFE2L2	1.1.1.2.3	ENCODE
529	NFIA	7.1.2.0.1	ENCODE
530	NFIB	7.1.2.0.2	ENCODE
531	NFIC	7.1.2.0.3	ENCODE
532	NFIL3	1.1.8.2.4	ENCODE
533	NFXL1	0.4.1.0.2	ENCODE
534	NFYA	4.2.1.0.1	ENCODE
535	NFYB	4.2.1.0.2	ENCODE
536	NFYC	4.2.1.0.3	ENCODE
537	NKRF		ENCODE
538	NR0B1	2.1.7.0.1	ENCODE
539	NR2C1	2.1.3.4.1	ENCODE
540	NR2C2	2.1.3.4.2	ENCODE
541	NR2F1	2.1.3.5.1	ENCODE
542	NR2F2	2.1.3.5.2	ENCODE
543	NR2F6	2.1.3.5.3	ENCODE
544	NR3C1	2.1.1.1.1	ENCODE::GGR
545	NR4A1	2.1.4.0.1	ENCODE
546	NRF1	1.1.1.2.2	ENCODE
547	OSR2	2.3.3.0.9	ENCODE
548	OVOL3	2.3.2.4.8	ENCODE
549	PATZ1	2.3.4.8.3	ENCODE
550	PAX5	3.2.2.2.2	ENCODE
551	PAX8	3.2.2.2.3	ENCODE
552	PBX2	3.1.4.4.2	ENCODE
553	PBX3	3.1.4.4.3	ENCODE
554	PHB2		ENCODE
555	PKNOX1	3.1.4.5.1	ENCODE
556	POU2F2	3.1.10.2.2	ENCODE
557	POU5F1	3.1.10.5.1	ENCODE
558	PPARG	2.1.2.5.3	ENCODE
559	PRDM1	2.3.3.12.1	ENCODE
560	PRDM10	2.3.4.0.34	ENCODE
561	PRDM2	2.3.4.0.16	ENCODE
562	PRDM4	2.3.4.0.31	ENCODE
563	PRDM6	2.3.3.0.23	ENCODE
564	PTTG1		ENCODE
565	RBAK	2.3.3.0.196	ENCODE
566	RBPJ	6.1.4.1.1	ENCODE
567	RCOR1	3.5.1.2.3	ENCODE
568	RCOR2	3.5.1.2.4	ENCODE
569	RELA	6.1.1.2.1	ENCODE
570	RELB	6.1.1.2.2	ENCODE
571	RERE	2.2.1.2.4	ENCODE
572	REST	2.3.4.0.27	ENCODE
573	RFX1	3.3.3.0.1	ENCODE
574	RFX3	3.3.3.0.3	ENCODE
575	RFX5	3.3.3.0.5	ENCODE
576	RLF	2.3.4.7.1	ENCODE
577	RNF2		ENCODE
578	RUNX1	6.4.1.0.2	ENCODE
579	RUNX3	6.4.1.0.3	ENCODE
580	RXRA	2.1.3.1.1	ENCODE
581	RXRB	2.1.3.1.2	ENCODE
582	SALL1	2.3.4.3.1	ENCODE
583	SALL2	2.3.4.3.2	ENCODE
584	SCRT1	2.3.3.2.4	ENCODE
585	SCRT2	2.3.3.2.5	ENCODE
586	SFPQ	0.2.1.0.2	ENCODE
587	SIX4	3.1.6.3.1	ENCODE
588	SIX5	3.1.6.3.2	ENCODE
589	SKIL		ENCODE
590	SMAD1	7.1.1.1.1	ENCODE
591	SMAD2	7.1.1.1.2	ENCODE
592	SMAD4	7.1.1.2.1	ENCODE
593	SMAD5	7.1.1.1.4	ENCODE
594	SOX13	4.1.1.4.3	ENCODE
595	SOX5	4.1.1.4.1	ENCODE
596	SOX6	4.1.1.4.2	ENCODE
597	SP1	2.3.1.1.1	ENCODE
598	SP2	2.3.1.1.2	ENCODE
599	SP3	2.3.1.1.3	ENCODE
600	SP4	2.3.1.1.4	ENCODE
601	SP5	2.3.1.1.5	ENCODE
602	SP7	2.3.1.1.7	ENCODE
603	SREBF1	1.2.6.3.1	ENCODE
604	SREBF2	1.2.6.3.2	ENCODE
605	SRF	5.1.2.0.1	ENCODE
606	STAT1	6.2.1.0.1	ENCODE
607	STAT2	6.2.1.0.2	ENCODE
608	STAT3	6.2.1.0.3	ENCODE
609	STAT5A	6.2.1.0.5	ENCODE
610	TBP	8.1.1.0.1	ENCODE
611	TBX21	6.5.2.0.3	ENCODE
612	TBX3	6.5.4.0.2	ENCODE
613	TCF12	1.2.1.0.3	ENCODE
614	TCF3	1.2.1.0.1	ENCODE
615	TCF7	4.1.3.0.1	ENCODE
616	TCF7L2	4.1.3.0.3	ENCODE
617	TEAD1	3.6.1.0.1	ENCODE
618	TEAD2	3.6.1.0.3	ENCODE
619	TEAD3	3.6.1.0.2	ENCODE
620	TEAD4	3.6.1.0.3	ENCODE
621	TFAP4	1.2.6.4.1	ENCODE
622	TFDP1	3.3.2.2.1	ENCODE
623	TFE3	1.2.6.1.1	ENCODE
624	TGIF2	3.1.4.6.2	ENCODE
625	THAP1	2.9.1.0.1	ENCODE
626	THAP11	2.9.1.0.11	ENCODE
627	THRA	2.1.2.2.1	ENCODE
628	THRB	2.1.2.3.2	ENCODE
629	TRIM22		ENCODE
630	TRIM24		ENCODE
631	TRIM25		ENCODE
632	TRIM28		ENCODE
633	TSC22D4	1.1.0.1.4	ENCODE
634	TSHZ1	3.1.8.2.1	ENCODE
635	UBTF		ENCODE
636	USF1	1.2.6.2.1	ENCODE
637	USF2	1.2.6.2.2	ENCODE
638	VEZF1	2.3.4.8.2	ENCODE
639	WT1	2.3.3.0.21	ENCODE
640	XRCC5		ENCODE
641	YBX1	9.1.1.2.1	ENCODE
642	YY1	2.3.3.9.1	ENCODE
643	YY2	2.3.3.9.2	ENCODE
644	ZBED1	2.3.5.0.1	ENCODE
645	ZBED5	2.3.5.0.5	ENCODE
646	ZBTB10		ENCODE
647	ZBTB11	2.3.3.0.124	ENCODE
648	ZBTB12	2.3.3.11.3	ENCODE
649	ZBTB17	2.3.4.0.72	ENCODE
650	ZBTB2	2.3.4.6.2	ENCODE
651	ZBTB20	2.3.3.14.1	ENCODE
652	ZBTB21	2.3.4.0.10	ENCODE
653	ZBTB25	2.3.4.6.3	ENCODE
654	ZBTB26	2.3.3.11.2	ENCODE
655	ZBTB33	2.3.2.1.12	ENCODE
656	ZBTB40	2.3.3.0.123	ENCODE
657	ZBTB44	2.3.3.0.28	ENCODE
658	ZBTB48	2.3.3.0.102	ENCODE
659	ZBTB49	2.3.3.0.38	ENCODE
660	ZBTB5	2.3.2.1.1	ENCODE
661	ZBTB6	2.3.3.11.1	ENCODE
662	ZBTB7B	2.3.3.8.2	ENCODE
663	ZBTB8A		ENCODE
664	ZC3H8	2.8.1.0.1	ENCODE
665	ZEB1	3.1.8.3.1	ENCODE
666	ZEB2	3.1.8.3.2	ENCODE
667	ZFHX2	3.1.8.4.1	ENCODE
668	ZFP1	2.3.3.0.72	ENCODE
669	ZFP3	2.3.3.0.162	ENCODE
670	ZFP37	2.3.3.69.3	ENCODE
671	ZFP41	2.3.3.0.17	ENCODE
672	ZFP64	2.3.3.0.76	ENCODE
673	ZFP69B	2.3.3.31.2	ENCODE
674	ZFP91	2.3.3.3.1	ENCODE
675	ZGPAT	2.8.2.0.1	ENCODE
676	ZHX1	3.1.8.5.1	ENCODE
677	ZHX2	3.1.8.5.2	ENCODE
678	ZIC2	2.3.3.1.8	ENCODE
679	ZIK1	2.3.3.41.2	ENCODE
680	ZKSCAN1	2.3.3.10.6	ENCODE
681	ZKSCAN8	2.3.3.0.81	ENCODE
682	ZMIZ1		ENCODE
683	ZMYM3		ENCODE
684	ZNF10	2.3.3.0.118	ENCODE
685	ZNF101	2.3.4.0.51	ENCODE
686	ZNF112	2.3.4.0.65	ENCODE
687	ZNF114	2.3.3.0.11	ENCODE
688	ZNF121	2.3.3.0.112	ENCODE
689	ZNF132	2.3.4.0.70	ENCODE
690	ZNF133	2.3.3.61.4	ENCODE
691	ZNF138	2.3.3.18.3	ENCODE
692	ZNF140	2.3.3.44.4	ENCODE
693	ZNF143	2.3.3.28.2	ENCODE
694	ZNF146	2.3.3.55.1	ENCODE
695	ZNF148	2.3.3.13.1	ENCODE
696	ZNF155	2.3.3.47.4	ENCODE
697	ZNF157	2.3.3.69.2	ENCODE
698	ZNF16	2.3.3.0.204	ENCODE
699	ZNF169	2.3.3.61.3	ENCODE
700	ZNF174	2.3.2.3.2	ENCODE
701	ZNF175	2.3.3.68.2	ENCODE
702	ZNF18	2.3.3.0.20	ENCODE
703	ZNF184	2.3.3.0.220	ENCODE
704	ZNF189	2.3.3.0.197	ENCODE
705	ZNF19	2.3.3.0.119	ENCODE
706	ZNF195	2.3.4.0.59	ENCODE
707	ZNF197	2.3.3.0.228	ENCODE
708	ZNF2	2.3.3.44.2	ENCODE
709	ZNF202	2.3.3.0.60	ENCODE
710	ZNF205	2.3.3.0.58	ENCODE
711	ZNF211	2.3.4.1.6	ENCODE
712	ZNF213	2.3.3.6.4	ENCODE
713	ZNF214	2.3.3.56.1	ENCODE
714	ZNF217	2.3.4.2.4	ENCODE
715	ZNF221	2.3.3.47.5	ENCODE
716	ZNF223	2.3.3.47.2	ENCODE
717	ZNF23	2.3.3.0.210	ENCODE
718	ZNF239	2.3.3.0.83	ENCODE
719	ZNF24	2.3.3.10.1	ENCODE
720	ZNF248	2.3.4.25.3	ENCODE
721	ZNF26	2.3.3.70.1	ENCODE
722	ZNF263	2.3.3.0.79	ENCODE
723	ZNF266	2.3.3.0.165	ENCODE
724	ZNF274	2.3.3.0.6	ENCODE
725	ZNF280A	2.3.3.4.1	ENCODE
726	ZNF280C	2.3.3.4.3	ENCODE
727	ZNF280D	2.3.3.4.4	ENCODE
728	ZNF282	2.3.3.38.1	ENCODE
729	ZNF292	2.3.4.7.2	ENCODE
730	ZNF3	2.3.3.34.1	ENCODE
731	ZNF300	2.3.3.71.1	ENCODE
732	ZNF302	2.3.3.44.1	ENCODE
733	ZNF311	2.3.3.0.166	ENCODE
734	ZNF316	2.3.4.0.43	ENCODE
735	ZNF318		ENCODE
736	ZNF324	2.3.3.36.1	ENCODE
737	ZNF331	2.3.3.0.142	ENCODE
738	ZNF34	2.3.3.0.130	ENCODE
739	ZNF341	2.3.4.0.35	ENCODE
740	ZNF350	2.3.3.30.1	ENCODE
741	ZNF354B	2.3.3.64.2	ENCODE
742	ZNF354C	2.3.3.0.114	ENCODE
743	ZNF362	2.3.3.37.1	ENCODE
744	ZNF37A	2.3.4.25.1	ENCODE
745	ZNF384	2.3.3.37.2	ENCODE
746	ZNF391	2.3.3.0.82	ENCODE
747	ZNF394	2.3.3.0.40	ENCODE
748	ZNF395		ENCODE
749	ZNF398	2.3.3.38.2	ENCODE
750	ZNF404	2.3.3.67.3	ENCODE
