"77";"sisA";"sis-a, sis a";"BZIP";"7227"
"78";"slbo";"C/EBP, DmC/EBP, slobo";"BZIP";"7227"
"79";"tj";"maf1";"BZIP";"7227"
"80";"vri";"jf23";"BZIP";"7227"
"81";"Xbp1";"l(2)k13803, xbp-1";"BZIP";"7227"
"82";"ab";"clu, clueless";"ZF-C2H2";"7227"
"83";"Aef1";"AEF-1";"ZF-C2H2";"7227"
"84";"Asciz";"dASCIZ";"ZF-C2H2";"7227"
"85";"ATbp";"-";"ZF-C2H2";"7227"
"86";"az2";"-";"ZF-C2H2";"7227"
"87";"Blimp-1";"dBlimp-1, dBlimp1";"ZF-C2H2";"7227"
"88";"bowl";"bowel, Su(tor)2-1";"ZF-C2H2";"7227"
"89";"br";"BR-C, Broad Complex, ecs, rbp, npr1";"ZF-C2H2";"7227"
"90";"Br140";"-";"ZF-C2H2";"7227"
"91";"btd";"-";"ZF-C2H2";"7227"
"92";"BuGZ";"lincRNA.S1359, Dm_2L:87597";"ZF-C2H2";"7227"
"93";"cas";"ming, l(3)neo33";"ZF-C2H2";"7227"
"94";"cbt";"EP2237, dTIEG";"ZF-C2H2";"7227"
"95";"Cf2";"-";"ZF-C2H2";"7227"
"96";"cg";"mig, l(2)07659";"ZF-C2H2";"7227"
"97";"CG1024";"-";"ZF-C2H2";"7227"
"98";"CG1233";"-";"ZF-C2H2";"7227"
"99";"CG1529";"-";"ZF-C2H2";"7227"
"100";"CG1602";"-";"ZF-C2H2";"7227"
"101";"CG1603";"-";"ZF-C2H2";"7227"
"102";"CG1647";"-";"ZF-C2H2";"7227"
"103";"CG1663";"-";"ZF-C2H2";"7227"
"104";"CG1792";"-";"ZF-C2H2";"7227"
"105";"CG2116";"-";"ZF-C2H2";"7227"
"106";"CG2120";"-";"ZF-C2H2";"7227"
"107";"CG2129";"-";"ZF-C2H2";"7227"
"108";"CG2199";"-";"ZF-C2H2";"7227"
"109";"CG2202";"-";"ZF-C2H2";"7227"
"110";"CG2678";"-";"ZF-C2H2";"7227"
"111";"CG2712";"EG:95B7.7, anon-3Be";"ZF-C2H2";"7227"
"112";"CG2889";"-";"ZF-C2H2";"7227"
"113";"CG3032";"-";"ZF-C2H2";"7227"
"114";"CG3065";"-";"ZF-C2H2";"7227"
"115";"CG3281";"anon-87Aa, 87A7-9/1";"ZF-C2H2";"7227"
"116";"CG3407";"-";"ZF-C2H2";"7227"
"117";"CG3847";"-";"ZF-C2H2";"7227"
"118";"CG3995";"-";"ZF-C2H2";"7227"
"119";"CG4282";"-";"ZF-C2H2";"7227"
"120";"CG4318";"-";"ZF-C2H2";"7227"
"121";"CG4360";"-";"ZF-C2H2";"7227"
"122";"CG4374";"-";"ZF-C2H2";"7227"
"123";"CG4424";"-";"ZF-C2H2";"7227"
"124";"CG4496";"-";"ZF-C2H2";"7227"
