"64"	"39"	"Elf3"	"Elf3/Elf3_3876.1_v1_deBruijn.txt"
"65"	"39"	"Elf3"	"Elf3/Elf3_3876.1_v2_deBruijn.txt"
"66"	"40"	"Elf4"	"Elf4/Elf4_deBruijn.txt"
"67"	"41"	"Elf5"	"Elf5/Elf5_deBruijn.txt"
"68"	"42"	"Elk1"	"Elk1/Elk1_deBruijn.txt"
"69"	"43"	"Elk3"	"Elk3/Elk3_deBruijn.txt"
"70"	"44"	"Elk4"	"Elk4/Elk4_deBruijn.txt"
"71"	"45"	"Emx2"	"Emx2/Emx2_3420.1_deBruijn.txt"
"72"	"46"	"En1"	"En1/En1_3123.2_deBruijn.txt"
"73"	"47"	"En2"	"En2/En2_0952.1_deBruijn.txt"
"74"	"48"	"Eomes"	"Eomes/Eomes_0921.4_v1_deBruijn.txt"
"75"	"48"	"Eomes"	"Eomes/Eomes_0921.4_v2_deBruijn.txt"
"76"	"49"	"Erg"	"Erg/Erg_deBruijn.txt"
"77"	"50"	"Esrra"	"Esrra/Esrra_2190.2_v1_deBruijn.txt"
"78"	"50"	"Esrra"	"Esrra/Esrra_2190.2_v2_deBruijn.txt"
"79"	"51"	"Esx1"	"Esx1/Esx1_3124.2_deBruijn.txt"
"80"	"52"	"Ets1"	"Ets1/Ets1_deBruijn.txt"
"81"	"53"	"Etv1"	"Etv1/Etv1_deBruijn.txt"
"82"	"54"	"Etv3"	"Etv3/Etv3_deBruijn.txt"
"83"	"55"	"Etv4"	"Etv4/Etv4_deBruijn.txt"
"84"	"56"	"Etv5"	"Etv5/Etv5_deBruijn.txt"
"85"	"57"	"Etv6"	"Etv6/Etv6_deBruijn.txt"
"86"	"58"	"Evx1"	"Evx1/Evx1_3952.2_deBruijn.txt"
"87"	"59"	"Evx2"	"Evx2/Evx2_2645.3_deBruijn.txt"
"88"	"60"	"Fli1"	"Fli1/Fli1_deBruijn.txt"
"89"	"61"	"Foxa2"	"Foxa2/Foxa2_2830.2_v1_deBruijn.txt"
"90"	"61"	"Foxa2"	"Foxa2/Foxa2_2830.2_v2_deBruijn.txt"
"91"	"62"	"Foxj1"	"Foxj1/Foxj1_3125.2_v1_deBruijn.txt"
"92"	"62"	"Foxj1"	"Foxj1/Foxj1_3125.2_v2_deBruijn.txt"
"93"	"63"	"Foxj3"	"Foxj3/Foxj3_0982.2_v1_deBruijn.txt"
"94"	"63"	"Foxj3"	"Foxj3/Foxj3_0982.2_v2_deBruijn.txt"
"95"	"64"	"Foxk1"	"Foxk1/Foxk1_2323.4_v1_deBruijn.txt"
"96"	"64"	"Foxk1"	"Foxk1/Foxk1_2323.4_v2_deBruijn.txt"
"97"	"65"	"Foxl1"	"Foxl1/Foxl1_2809.2_v1_deBruijn.txt"
"98"	"65"	"Foxl1"	"Foxl1/Foxl1_2809.2_v2_deBruijn.txt"
"99"	"66"	"Gabpa"	"Gabpa/Gabpa_deBruijn.txt"
"100"	"66"	"Gabpa"	"Gabpa/Gabpa_2829.2_v1_deBruijn.txt"
"101"	"66"	"Gabpa"	"Gabpa/Gabpa_2829.2_v2_deBruijn.txt"
"102"	"67"	"Gata3"	"Gata3/Gata3_1024.3_v1_deBruijn.txt"
"103"	"67"	"Gata3"	"Gata3/Gata3_1024.3_v2_deBruijn.txt"
"104"	"67"	"Gata3"	"Gata3/Gata3_4964.2_v1_deBruijn.txt"
"105"	"67"	"Gata3"	"Gata3/Gata3_4964.2_v2_deBruijn.txt"
"106"	"68"	"Gata5"	"Gata5/Gata5_3768.1_v1_deBruijn.txt"
"107"	"68"	"Gata5"	"Gata5/Gata5_3768.1_v2_deBruijn.txt"
"108"	"69"	"Gata6"	"Gata6/Gata6_3769.1_v1_deBruijn.txt"
"109"	"69"	"Gata6"	"Gata6/Gata6_3769.1_v2_deBruijn.txt"
"110"	"70"	"Gbx1"	"Gbx1/Gbx1_2883.2_deBruijn.txt"
"111"	"71"	"Gbx2"	"Gbx2/Gbx2_3110.1_deBruijn.txt"
"112"	"72"	"Gcm1"	"Gcm1/Gcm1_3732.1_v1_deBruijn.txt"
"113"	"72"	"Gcm1"	"Gcm1/Gcm1_3732.1_v2_deBruijn.txt"
"114"	"73"	"Glis2"	"Glis2/Glis2_1757.2_v1_deBruijn.txt"
"115"	"73"	"Glis2"	"Glis2/Glis2_1757.2_v2_deBruijn.txt"
"116"	"74"	"Gm397"	"Gm397/Gm397_1753.4_v1_deBruijn.txt"
"117"	"74"	"Gm397"	"Gm397/Gm397_1753.4_v2_deBruijn.txt"
"118"	"75"	"Gm4881"	"Gm4881/Gm4881_deBruijn.txt"
"119"	"76"	"Gm5454"	"Gm5454/Gm5454_deBruijn.txt"
"120"	"77"	"Gmeb1"	"Gmeb1/Gmeb1_1745.2_v1_deBruijn.txt"
"121"	"77"	"Gmeb1"	"Gmeb1/Gmeb1_1745.2_v2_deBruijn.txt"
"122"	"78"	"Gsc"	"Gsc/Gsc_2327.3_deBruijn.txt"
"123"	"79"	"Gsh2"	"Gsh2/Gsh2_3990.2_deBruijn.txt"
"124"	"80"	"Hbp1"	"Hbp1/Hbp1_2241.2_v2_deBruijn.txt"
"125"	"80"	"Hbp1"	"Hbp1/Hbp1_2241.3_v1_deBruijn.txt"
"126"	"81"	"Hdx"	"Hdx/Hdx_3845.3_deBruijn.txt"
"127"	"82"	"Hic1"	"Hic1/Hic1_2816.2_v1_deBruijn.txt"
