"1.1.7.1.1.1";"CREB-A";"CREBA";"1.1";"9606"
"1.1.7.1.1.2";"CREB-B";"CREBB";"1.1";"9606"
"1.1.7.1.2";"ATF-1";"ATF1";"1.1";"9606"
"1.1.7.1.3";"CREM";"CREM";"1.1";"9606"
"1.1.7.2.1";"CREB-3 (Luman)";"CREB3 (Luman)";"1.1";"9606"
"1.1.7.2.2";"CREB-3L1 (OASIS)";"CREB3L1 (OASIS)";"1.1";"9606"
"1.1.7.2.3";"CREB-3L2";"CREB3L2";"1.1";"9606"
"1.1.7.2.4";"CREB-3L3 (CREB-H)";"CREB3L3 (CREBH)";"1.1";"9606"
"1.1.7.2.5";"CREB-3L4";"CREB3L4";"1.1";"9606"
"1.1.7.3.1";"ATF-6A";"ATF6A";"1.1";"9606"
"1.1.7.3.2";"ATF-6B";"ATF6B";"1.1";"9606"
"1.1.7.4.1";"CREBZF (Zhangfei, ZF)";"CREBZF (Zhangfei, ZF)";"1.1";"9606"
"1.1.7.5.1";"CREBL2";"CREBL2";"1.1";"9606"
"1.1.8.1.1";"CEBPA";"CEBPA";"1.1";"9606"
"1.1.8.1.2";"CEBPB (NF-IL6-1)";"CEBPB (NFIL61)";"1.1";"9606"
"1.1.8.1.2::3.5.2.5.1";"CEBP:AP1";"ThioMac-CEBPb-ChIP-Seq";"1.1";"9606"
"1.1.8.1.3";"CEBPG";"CEBPG";"1.1";"9606"
"1.1.8.1.4";"CEBPD";"CEBPD";"1.1";"9606"
"1.1.8.1.5";"CEBPE";"CEBPE";"1.1";"9606"
"1.1.8.1.6";"DDIT3 (CHOP-10)";"DDIT3 (CHOP10)";"1.1";"9606"
"1.1.8.1.6::1.1.8.1.1";"CHOP::CEBPA";"CHOP::CEBPA";"1.1";"9606"
"1.1.8.2.1";"DBP";"DBP";"1.1";"9606"
"1.1.8.2.2";"HLF";"HLF";"1.1";"9606"
"1.1.8.2.3";"TEF";"TEF";"1.1";"9606"
"1.1.8.2.4";"NF-IL3 (E4BP4)";"NFIL3 (E4BP4)";"1.1";"9606"
"1.2.1.0.1";"E2A (TCF-3, ITF-1)";"E2A (TCF3, ITF1)";"1.2";"9606"
"1.2.1.0.1.1";"E12 (PAN-2)";"E12 (PAN2)";"1.2";"9606"
"1.2.1.0.1.2";"E47 (PAN-1)";"E47 (PAN1)";"1.2";"9606"
"1.2.1.0.1.3";"ITF-1";"ITF1";"1.2";"9606"
"1.2.1.0.2";"SEF2 (E2-2, TCF-4, ITF-2)";"SEF2 (E22, TCF4, ITF2)";"1.2";"9606"
"1.2.1.0.2.1";"SEF2-1B (B−)";"SEF21B (B−)";"1.2";"9606"
"1.2.1.0.2.2";"SEF2-1A (A+)";"SEF21A (A+)";"1.2";"9606"
"1.2.1.0.2.3";"SEF2-1D (B+)";"SEF21D (B+)";"1.2";"9606"
"1.2.1.0.3";"HTF-4 (TCF-12, HEB)";"HTF4 (TCF12, HEB)";"1.2";"9606"
"1.2.2.1.1";"MyoD";"MyoD (MYOD1)";"1.2";"9606"
"1.2.2.1.2";"Myogenin (Myf-4)";"Myogenin (Myf4, MYOG)";"1.2";"9606"
"1.2.2.1.3";"Myf-5";"Myf5";"1.2";"9606"
"1.2.2.1.4";"Myf-6 (MRF4)";"Myf6 (MRF4)";"1.2";"9606"
"1.2.2.2.1";"ASH-1 (ASCL1)";"ASH1 (ASCL1)";"1.2";"9606"
"1.2.2.2.2";"ASH-2 (ASCL2)";"ASH2 (ASCL2)";"1.2";"9606"
"1.2.2.2.3";"ASH-3 (ASCL3)";"ASH3 (ASCL3)";"1.2";"9606"
"1.2.2.2.4";"ASH-4 (ASCL4)";"ASH4 (ASCL4)";"1.2";"9606"
"1.2.2.2.5";"ASH-5 (ASCL5)";"ASH5 (ASCL5)";"1.2";"9606"
"1.2.3.1.1";"Tal-1 (SCL, TCL-5)";"Tal1 (SCL, TCL5)";"1.2";"9606"
"1.2.3.1.1.1";"PP42-Tal-1";"PP42Tal1";"1.2";"9606"
"1.2.3.1.1.1::1.2.1.0.1.2";"Tal-1alpha:E47";"Tal-1alpha:E47";"1.2";"9606"
"1.2.3.1.1.2";"PP39-Tal-1";"PP39Tal1";"1.2";"9606"
"1.2.3.1.1.3";"PP22-Tal-1";"PP22Tal1";"1.2";"9606"
"1.2.3.1.1::2.2.1.1.1";"TAL1::GATA1";"TAL1::GATA1";"1.2";"9606"
"1.2.3.1.1::4.1.3.0.2";"TAL1::TCF3";"TAL1::TCF3";"1.2";"9606"
"1.2.3.1.2";"Tal-2";"Tal2";"1.2";"9606"
"1.2.3.1.3";"Lyl-1";"Lyl1";"1.2";"9606"
"1.2.3.1.4";"HEN1 (NSCL-1, NHLH1)";"HEN1 (NSCL1, NHLH1)";"1.2";"9606"
"1.2.3.1.5";"HEN2 (NSCL-2, NHLH2)";"HEN2 (NSCL2, NHLH2)";"1.2";"9606"
"1.2.3.2.1";"Twist-1 (H-Twist, M-Twist)";"Twist1 (TWST1) (HTwist, MTwist)";"1.2";"9606"
"1.2.3.2.2";"Twist-2 (Dermo-1)";"Twist2 (Dermo1)";"1.2";"9606"
"1.2.3.2.3";"HAND-1 (eHAND, Th1)";"HAND1 (eHAND, Th1)";"1.2";"9606"
"1.2.3.2.3::1.2.1.0.1.2";"Hand1:E47";"Hand1:E47";"1.2";"9606"
"1.2.3.2.4";"HAND-2 (dHAND)";"HAND2 (dHAND)";"1.2";"9606"
"1.2.3.2.5";"bHLH-EC2 (TCF-15)";"bHLHEC2 (TCF15)";"1.2";"9606"
"1.2.3.2.6";"Scx";"Scx";"1.2";"9606"
"1.2.3.2.7";"PTF-1a";"PTF1a";"1.2";"9606"
"1.2.3.2.8";"FIGA";"FIGA (FIGLA)";"1.2";"9606"
"1.2.3.3.1";"Mesp-1";"Mesp1";"1.2";"9606"
"1.2.3.3.2";"Mesp-2";"Mesp2";"1.2";"9606"
"1.2.3.3.3";"TCF-23";"TCF23";"1.2";"9606"
"1.2.3.3.4";"ABF-1 (Musculin, MyoR, MSC)";"ABF1 (Musculin, MyoR, MSC)";"1.2";"9606"
"1.2.3.3.5";"Pod-1 (TCF-21)";"Pod1 (TCF21)";"1.2";"9606"
"1.2.3.3.6";"Mesogenin-1 (MSGN1)";"Mesogenin1 (MSGN1)";"1.2";"9606"
"1.2.3.4.1";"NeuroD1";"NeuroD1 (NDF1)";"1.2";"9606"
"1.2.3.4.10";"ATH-6 (ATOH-8)";"ATH6 (ATOH8)";"1.2";"9606"
"1.2.3.4.11";"bHLHe22 (Beta3)";"bHLHe22 (Beta3)";"1.2";"9606"
"1.2.3.4.12";"bHLHe23";"bHLHe23";"1.2";"9606"
"1.2.3.4.13";"OLIGO1";"OLIGO1 (OLIG1)";"1.2";"9606"
"1.2.3.4.14";"OLIGO2";"OLIGO2 (OLIG2)";"1.2";"9606"
"1.2.3.4.15";"OLIGO3";"OLIGO3 (OLIG3)";"1.2";"9606"
"1.2.3.4.16";"MIST1 (bHLHa15)";"MIST1 (bHLHa15)";"1.2";"9606"
"1.2.3.4.17";"Fer3L (Ferd3L)";"Fer3L (Ferd3L)";"1.2";"9606"
"1.2.3.4.2";"NeuroD2";"NeuroD2";"1.2";"9606"
"1.2.3.4.3";"NeuroD4 (ATH-3)";"NeuroD4 (ATH3)";"1.2";"9606"
"1.2.3.4.4";"NeuroD6 (ATH-2)";"NeuroD6 (ATH2)";"1.2";"9606"
"1.2.3.4.5";"NGN-1 (NeuroD3)";"NGN1 (NeuroD3)";"1.2";"9606"
"1.2.3.4.6";"NGN-2 (Atoh4, NeuroG2)";"NGN2 (Atoh4, NeuroG2)";"1.2";"9606"
"1.2.3.4.7";"NGN-3 (Atoh5, NeuroG3)";"NGN3 (Atoh5, NeuroG3)";"1.2";"9606"
"1.2.3.4.8";"ATH-1 (ATOH-1)";"ATH1 (ATOH1)";"1.2";"9606"
"1.2.3.4.9";"ATH-5 (ATOH-7)";"ATH5 (ATOH7)";"1.2";"9606"
"1.2.3.5.1";"bHLHa9";"bHLHa9";"1.2";"9606"
"1.2.4.1.1";"HES-1";"HES1";"1.2";"9606"
"1.2.4.1.1.2::1.2.1.0.1.2";"Tal-1beta:E47";"Tal-1beta:E47";"1.2";"9606"
"1.2.4.1.10";"HEYL";"HEYL";"1.2";"9606"
"1.2.4.1.11";"HELT";"HELT";"1.2";"9606"
"1.2.4.1.12";"DEC1 (STRA-13, bHLHb2)";"DEC1 (STRA13, bHLHb2, BHE40,bHLHE40)";"1.2";"9606"
"1.2.4.1.13";"DEC2 (bHLHb3, bHLHe41)";"DEC2 (bHLHb3, bHLHe41, BHE41)";"1.2";"9606"
"1.2.4.1.2";"HES-2";"HES2";"1.2";"9606"
"1.2.4.1.3";"HES-3";"HES3";"1.2";"9606"
"1.2.4.1.4";"HES-4";"HES4";"1.2";"9606"
"1.2.4.1.5";"HES-5";"HES5";"1.2";"9606"
"1.2.4.1.6";"HES-6";"HES6";"1.2";"9606"
"1.2.4.1.7";"HES-7";"HES7";"1.2";"9606"
"1.2.4.1.8";"HEY-1";"HEY1";"1.2";"9606"
"1.2.4.1.9";"HEY-2";"HEY2";"1.2";"9606"
"1.2.5.1.1";"AhR";"AhR";"1.2";"9606"
"1.2.5.1.2";"AhRR";"AhRR";"1.2";"9606"
"1.2.5.1.3";"SIM1";"SIM1";"1.2";"9606"
"1.2.5.1.4";"SIM2";"SIM2";"1.2";"9606"
"1.2.5.1.5";"HIF-1A";"HIF1A";"1.2";"9606"
"1.2.5.1.6";"HIF-3A";"HIF3A";"1.2";"9606"
"1.2.5.1.7";"EPAS-1";"EPAS1 (HIF2A)";"1.2";"9606"
"1.2.5.1.8";"NPAS-1";"NPAS1";"1.2";"9606"
"1.2.5.1.9";"NPAS-3";"NPAS3";"1.2";"9606"
"1.2.5.2.1";"Arnt (HIF-1B)";"Arnt (HIF1B)";"1.2";"9606"
"1.2.5.2.1::1.2.5.1.1";"Arnt:Ahr";"Arnt:Ahr";"1.2";"9606"
"1.2.5.2.2";"Arnt-2";"Arnt2";"1.2";"9606"
"1.2.5.2.3";"ArntL (BMAL1)";"ArntL (BMAL1)";"1.2";"9606"
"1.2.5.2.3.1";"BMAL1A";"BMAL1A";"1.2";"9606"
"1.2.5.2.3.2";"BMAL1B";"BMAL1B";"1.2";"9606"
"1.2.5.2.3.3";"BMAL1C";"BMAL1C";"1.2";"9606"
"1.2.5.2.3.4";"BMAL1D";"BMAL1D";"1.2";"9606"
"1.2.5.2.3.5";"BMAL1E";"BMAL1E";"1.2";"9606"
"1.2.5.2.3.6";"BMAL1F";"BMAL1F";"1.2";"9606"
"1.2.5.2.3.7";"MOP3";"MOP3";"1.2";"9606"
"1.2.5.2.4";"ArntL2 (BMAL2)";"ArntL2 (BMAL2)";"1.2";"9606"
