"120"	"Hoxd11"	"3.1.1.8.10"
"121"	"Hoxd12"	"3.1.1.8.12"
"122"	"Hoxd1"	"3.1.1.1.3"
"123"	"Hoxd13"	"3.1.1.8.16"
"124"	"Hoxd3"	"3.1.1.3.3"
"125"	"Hoxd8"	"3.1.1.7.3"
"126"	"Ipf1"	"3.1.1.15.1"
"127"	"IRC900814"	""
"128"	"Irf3"	"3.5.3.0.3"
"129"	"Irf4"	"3.5.3.0.4"
"130"	"Irf5"	"3.5.3.0.5"
"131"	"Irf6"	"3.5.3.0.6"
"132"	"Irx2"	"3.1.4.1.2"
"133"	"Irx3"	"3.1.4.1.3"
"134"	"Irx4"	"3.1.4.1.4"
"135"	"Irx5"	"3.1.4.1.5"
"136"	"Irx6"	"3.1.4.1.6"
"137"	"Isgf3g"	"3.5.3.0.9"
"138"	"Isl2"	"3.1.5.1.2"
"139"	"Isx"	"3.1.3.12.1"
"140"	"Jundm2"	"1.1.2.2.2"
"141"	"Klf7"	"2.3.1.2.7"
"142"	"Lbx2"	"3.1.2.10.2"
"143"	"Lef1"	"4.1.3.0.4"
"144"	"Lhx1"	"3.1.5.2.1"
"145"	"Lhx2"	"3.1.5.3.1"
"146"	"Lhx3"	"3.1.5.4.1"
"147"	"Lhx4"	"3.1.5.4.2"
"148"	"Lhx5"	"3.1.5.2.2"
"149"	"Lhx6"	"3.1.5.5.1"
"150"	"Lhx8"	"3.1.5.5.2"
"151"	"Lhx9"	"3.1.5.3.2"
"152"	"Lmx1a"	"3.1.5.6.1"
"153"	"Lmx1b"	"3.1.5.6.2"
"154"	"Mafb"	"1.1.3.1.3"
"155"	"Mafk"	"1.1.3.2.3"
"156"	"Max"	"1.2.6.5.5"
"157"	"Meis1"	"3.1.4.2.1"
"158"	"Meox1"	"3.1.1.14.1"
"159"	"Mrg1"	""
"160"	"Mrg2"	""
"161"	"Msx1"	"3.1.2.11.1"
"162"	"Msx2"	"3.1.2.11.2"
"163"	"Msx3"	""
"164"	"Mtf1"	"2.3.3.24.1 2.7.1.0.1"
"165"	"Myb"	"3.5.1.1.1"
"166"	"Mybl1"	"3.5.1.1.2"
"167"	"Myf6"	"1.2.2.1.4"
"168"	"Nkx1-1"	"3.1.2.13.1"
"169"	"Nkx1-2"	"3.1.2.13.2"
"170"	"Nkx2-2"	"3.1.2.15.1"
"171"	"Nkx2-3"	"3.1.2.17.1"
"172"	"Nkx2-4"	"3.1.2.14.2"
"173"	"Nkx2-5"	"3.1.2.17.2"
"174"	"Nkx2-6"	"3.1.2.17.3"
"175"	"Nkx2-9"	"3.1.2.15.2"
"176"	"Nkx3-1"	"3.1.2.16.1"
"177"	"Nkx6-1"	"3.1.2.19.1"
"178"	"Nkx6-3"	"3.1.2.19.3"
"179"	"Nr2f2"	"2.1.3.5.2"
"180"	"Obox1"	""
"181"	"Obox2"	""
"182"	"Obox3"	""
"183"	"Obox5"	""
"184"	"Obox6"	""
"185"	"Og2x"	"3.1.3.15.1"
"186"	"Osr1"	"2.3.2.4.7"
"187"	"Osr2"	"2.3.3.0.9"
"188"	"Otp"	"3.1.3.16.1"
"189"	"Otx1"	"3.1.3.17.1"
"190"	"Otx2"	"3.1.3.17.2"
"191"	"Pax4"	"3.2.1.2.1"
"192"	"Pax6"	"3.2.1.2.2"
"193"	"Pax7"	"3.2.1.1.2"
"194"	"Pbx1"	"3.1.4.4.1"
"195"	"Phox2a"	"3.1.3.18.1"
"196"	"Phox2b"	"3.1.3.18.2"
"197"	"Pitx1"	"3.1.3.19.1"
"198"	"Pitx2"	"3.1.3.19.2"
"199"	"Pitx3"	"3.1.3.19.3"
"200"	"Pknox1"	"3.1.4.5.1"
"201"	"Pknox2"	"3.1.4.5.2"
"202"	"Plagl1"	"2.3.3.25.3"
"203"	"Pou1f1"	"3.1.10.1.1"
"204"	"Pou2f1"	"3.1.10.2.1"
"205"	"Pou2f2"	"3.1.10.2.2"
"206"	"Pou2f3"	"3.1.10.2.3"
