2383	h-Fli1	Fli1	Wei-human	3.5.2.1.5
2384	h-GABPA	GABPA	Wei-human	3.5.2.1.4
2385	h-SPDEF	SPDEF	Wei-human	3.5.2.7.1
2386	h-SPI1	SPI1	Wei-human	3.5.2.5.1
2387	h-SPIB	SPIB	Wei-human	3.5.2.5.2
2388	h-SPIC	SPIC	Wei-human	3.5.2.5.3
2389	CTCF	CTCF	human-C2H2ZF	2.3.3.50.1
2390	KLF10	KLF10	human-C2H2ZF	2.3.1.2.10
2391	MZF1	MZF1	human-C2H2ZF	2.3.3.0.152
2392	YY1	YY1	human-C2H2ZF	2.3.3.9.1
2393	ZBTB12	ZBTB12	human-C2H2ZF	2.3.3.11.3
2394	ZBTB18	ZBTB18	human-C2H2ZF	2.3.3.16.1
2395	ZFP3	ZFP3	human-C2H2ZF	2.3.3.0.162
2396	ZIC2	ZIC2	human-C2H2ZF	2.3.3.1.8
2397	ZNF136	ZNF136	human-C2H2ZF	2.3.3.33.15
2398	ZNF16	ZNF16	human-C2H2ZF	2.3.3.0.204
2399	ZNF189	ZNF189	human-C2H2ZF	2.3.3.0.197
2400	ZNF200	ZNF200	human-C2H2ZF	2.3.3.0.7
2401	ZNF250	ZNF250	human-C2H2ZF	2.3.3.0.160
2402	ZNF264	ZNF264	human-C2H2ZF	2.3.3.54.2
2403	ZNF273	ZNF273	human-C2H2ZF	2.3.3.0.155
2404	ZNF317	ZNF317	human-C2H2ZF	2.3.3.0.150
2405	ZNF322	ZNF322	human-C2H2ZF	2.3.3.52.1
2406	ZNF33A	ZNF33A	human-C2H2ZF	2.3.3.69.6
2407	ZNF35	ZNF35	human-C2H2ZF	2.3.3.0.100
2408	ZNF382	ZNF382	human-C2H2ZF	2.3.4.25.5
2409	ZNF415	ZNF415	human-C2H2ZF	2.3.3.0.133
2410	ZNF416	ZNF416	human-C2H2ZF	2.3.3.0.127
2411	ZNF41	ZNF41	human-C2H2ZF	2.3.3.68.3
2412	ZNF454	ZNF454	human-C2H2ZF	2.3.3.0.125
2413	ZNF45	ZNF45	human-C2H2ZF	2.3.3.47.10
2414	ZNF467	ZNF467	human-C2H2ZF	2.3.4.0.45
2415	ZNF519	ZNF519	human-C2H2ZF	2.3.4.0.68
2416	ZNF528	ZNF528	human-C2H2ZF	2.3.3.0.189
2417	ZNF574	ZNF574	human-C2H2ZF	2.3.4.22.2
2418	ZNF621	ZNF621	human-C2H2ZF	2.3.3.35.2
2419	ZNF653	ZNF653	human-C2H2ZF	2.3.3.3.4
2420	ZNF669	ZNF669	human-C2H2ZF	2.3.3.33.4
2421	ZNF675	ZNF675	human-C2H2ZF	2.3.3.59.6
2422	ZNF684	ZNF684	human-C2H2ZF	2.3.3.0.68
2423	ZNF692	ZNF692	human-C2H2ZF	2.3.3.3.2
2424	ZNF71	ZNF71	human-C2H2ZF	2.3.3.62.2
2425	ZSCAN22	ZSCAN22	human-C2H2ZF	2.3.3.0.70
2426	ZSCAN31	ZSCAN31	human-C2H2ZF	
2427	Fork_head	Fork_head	MacIsaac	3.3.1.1.1
2428	HMG_box	HMG_box	MacIsaac	
2429	NeuroD1	NeuroD1	MacIsaac	1.2.3.4.1
2430	NeuroD1_1	NeuroD1	MacIsaac	1.2.3.4.1
