89	dl	dl	Daniel Pollard's Lab	489
90	Dref	Dref	Daniel Pollard's Lab	256
91	dsx-F	dsx-F	Daniel Pollard's Lab	363
92	dsx-M	dsx-M	Daniel Pollard's Lab	363
93	Eip74EF	Eip74EF	Daniel Pollard's Lab	368
94	ems	ems	Daniel Pollard's Lab	471
95	en	en	Daniel Pollard's Lab	472
96	Espl	Espl	Daniel Pollard's Lab	
97	eve	eve	Daniel Pollard's Lab	432
98	exd	exd	Daniel Pollard's Lab	613
99	ey	ey	Daniel Pollard's Lab	553
100	ftz-f1	ftz-f1	Daniel Pollard's Lab	497
101	ftz	ftz	Daniel Pollard's Lab	433
102	gl	gl	Daniel Pollard's Lab	262
103	grh	grh	Daniel Pollard's Lab	530
104	gsb-n	gsb-n	Daniel Pollard's Lab	556
105	gsb	gsb	Daniel Pollard's Lab	555
106	gt	gt	Daniel Pollard's Lab	69
107	hb	hb	Daniel Pollard's Lab	267
108	His2B	His2B	Daniel Pollard's Lab	
109	hkb	hkb	Daniel Pollard's Lab	269
110	HLHm5	HLHm5	Daniel Pollard's Lab	18
111	Hr46	Hr46	Daniel Pollard's Lab	
112	Hsf	Hsf	Daniel Pollard's Lab	531
113	kni	kni	Daniel Pollard's Lab	511
114	Kr	Kr	Daniel Pollard's Lab	278
115	Mad	Mad	Daniel Pollard's Lab	452
116	Med	Med	Daniel Pollard's Lab	453
117	nub	nub	Daniel Pollard's Lab	593
118	ovo	ovo	Daniel Pollard's Lab	304
119	p120	p120	Daniel Pollard's Lab	
120	pan	pan	Daniel Pollard's Lab	412
121	pho	pho	Daniel Pollard's Lab	307
122	prd	prd	Daniel Pollard's Lab	557
123	sd	sd	Daniel Pollard's Lab	625
124	shn	shn	Daniel Pollard's Lab	324
125	slbo	slbo	Daniel Pollard's Lab	78
126	sna	sna	Daniel Pollard's Lab	325
127	srp	srp	Daniel Pollard's Lab	398
128	SuH	SuH	Daniel Pollard's Lab	545
129	suHw	suHw	Daniel Pollard's Lab	334
130	tin	tin	Daniel Pollard's Lab	485
131	tll	tll	Daniel Pollard's Lab	508
132	Top2	Top2	Daniel Pollard's Lab	
133	toy	toy	Daniel Pollard's Lab	559
134	Trl	Trl	Daniel Pollard's Lab	341
135	ttk	ttk	Daniel Pollard's Lab	343
136	twi	twi	Daniel Pollard's Lab	58
137	Ubx	Ubx	Daniel Pollard's Lab	439
138	vnd	vnd	Daniel Pollard's Lab	487
139	vvl	vvl	Daniel Pollard's Lab	596
140	z	z	Daniel Pollard's Lab	459
141	zen	zen	Daniel Pollard's Lab	440
142	AbdA	AbdA	Wolf's Lab	425
143	AbdB	AbdB	Wolf's Lab	426
144	Achi	Achi	Wolf's Lab	609
145	Al	Al	Wolf's Lab	560
146	Antp	Antp	Wolf's Lab	427
147	Ap	Ap	Wolf's Lab	442
148	Ara	Ara	Wolf's Lab	610
149	Awh	Awh	Wolf's Lab	443
150	Bap	Bap	Wolf's Lab	458
151	Bcd	Bcd	Wolf's Lab	428
152	BH1	BH1	Wolf's Lab	459
153	BH2	BH2	Wolf's Lab	460
154	Bsh	Bsh	Wolf's Lab	461
155	Btn	Btn	Wolf's Lab	429
156	C15	C15	Wolf's Lab	462
157	Cad	Cad	Wolf's Lab	430
158	Caup	Caup	Wolf's Lab	611
159	CG11085	CG11085	Wolf's Lab	463
160	CG11294	CG11294	Wolf's Lab	562
161	CG11617	CG11617	Wolf's Lab	612
162	CG12361	CG12361	Wolf's Lab	
163	CG13424	CG13424	Wolf's Lab	
164	CG15696	CG15696	Wolf's Lab	464
165	CG18599	CG18599	Wolf's Lab	465
166	CG32105	CG32105	Wolf's Lab	
167	CG32532	CG32532	Wolf's Lab	563
168	CG33980	CG33980	Wolf's Lab	
169	CG34031	CG34031	Wolf's Lab	466
170	CG4136	CG4136	Wolf's Lab	
171	CG4328	CG4328	Wolf's Lab	444
172	CG7056	CG7056	Wolf's Lab	
173	CG9876	CG9876	Wolf's Lab	561
174	Ct	Ct	Wolf's Lab	357
175	Dfd	Dfd	Wolf's Lab	431
176	Dll	Dll	Wolf's Lab	468
177	Dr	Dr	Wolf's Lab	469
178	E5	E5	Wolf's Lab	470
179	Ems	Ems	Wolf's Lab	471
180	En	En	Wolf's Lab	472
181	Eve	Eve	Wolf's Lab	432
182	Exd	Exd	Wolf's Lab	613
183	Exex	Exex	Wolf's Lab	473
184	Ftz	Ftz	Wolf's Lab	433
185	Gsc	Gsc	Wolf's Lab	566
186	H2	H2	Wolf's Lab	474
187	Hbn	Hbn	Wolf's Lab	567
188	Hgtx	Hgtx	Wolf's Lab	475
189	Hmx	Hmx	Wolf's Lab	477
190	Hth	Hth	Wolf's Lab	614
191	Ind	Ind	Wolf's Lab	434
192	Inv	Inv	Wolf's Lab	478
193	Lab	Lab	Wolf's Lab	435
194	Lbe	Lbe	Wolf's Lab	479
195	Lbl	Lbl	Wolf's Lab	480
196	Lim1	Lim1	Wolf's Lab	445
197	Lim3	Lim3	Wolf's Lab	446
198	Mirr	Mirr	Wolf's Lab	615
199	NK7	NK7	Wolf's Lab	482
200	Oc	Oc	Wolf's Lab	568
201	Oct	Oct	Wolf's Lab	
202	Odsh	Odsh	Wolf's Lab	569
203	onecut	onecut	Wolf's Lab	359
204	Optix	Optix	Wolf's Lab	606
205	Otp	Otp	Wolf's Lab	570
206	Pb	Pb	Wolf's Lab	436
207	PhdP	PhdP	Wolf's Lab	571
208	Pph13	Pph13	Wolf's Lab	572
209	Ptx1	Ptx1	Wolf's Lab	573
210	Repo	Repo	Wolf's Lab	574
211	Ro	Ro	Wolf's Lab	437
212	Rx	Rx	Wolf's Lab	575
213	Scr	Scr	Wolf's Lab	438
214	Six4	Six4	Wolf's Lab	607
215	Slou	Slou	Wolf's Lab	484
216	So	So	Wolf's Lab	608
217	Tin	Tin	Wolf's Lab	485
218	Tup	Tup	Wolf's Lab	448
219	Ubx	Ubx	Wolf's Lab	439
220	Unc4	Unc4	Wolf's Lab	576
221	Unpg	Unpg	Wolf's Lab	486
222	Vis	Vis	Wolf's Lab	616
223	Vnd	Vnd	Wolf's Lab	487
224	Zen	Zen	Wolf's Lab	440
225	Zen2	Zen2	Wolf's Lab	441
226	MA0206.1	abd-A	Jaspar	425
227	MA0165.1	Abd-B	Jaspar	426
228	MA0207.1	achi	Jaspar	609
229	MA0208.1	al	Jaspar	560
230	MA0166.1	Antp	Jaspar	427
231	MA0209.1	ap	Jaspar	442
232	MA0210.1	ara	Jaspar	610
233	MA0167.1	Awh	Jaspar	443
234	MA0168.1	B-H1	Jaspar	459
235	MA0169.1	B-H2	Jaspar	460
236	MA0211.1	bap	Jaspar	458
237	MA0212.1	bcd	Jaspar	428
238	MA0529.2	BEAF-32	Jaspar	
239	MA0242.1	Bgb::run	Jaspar	599
240	MA0010.1	br	Jaspar	89
241	MA0011.1	br(var.2)	Jaspar	513
242	MA0012.1	br(var.3)	Jaspar	513
243	MA0013.1	br(var.4)	Jaspar	513
244	MA0213.1	brk	Jaspar	513
245	MA0214.1	bsh	Jaspar	461
246	MA0443.1	btd	Jaspar	91
247	MA0215.1	btn	Jaspar	429
248	MA0170.1	C15	Jaspar	462
249	MA0216.2	cad	Jaspar	430
250	MA0217.1	caup	Jaspar	611
251	MA0015.1	Cf2	Jaspar	95
252	MA0171.1	CG11085	Jaspar	463
253	MA0172.1	CG11294	Jaspar	562
254	MA0173.1	CG11617	Jaspar	612
255	MA0176.1	CG15696-RA	Jaspar	464
256	MA0177.1	CG18599	Jaspar	465
257	MA0178.1	CG32105	Jaspar	
258	MA0179.1	CG32532	Jaspar	563
259	MA0444.1	CG34031	Jaspar	466
260	MA0182.1	CG4328-RA	Jaspar	444
261	MA0184.1	CG9876	Jaspar	561
262	MA1700.1	Clamp	Jaspar	244
263	MA0530.1	cnc::maf-S	Jaspar	65::73
264	MA0218.1	ct	Jaspar	357
265	MA0531.1	CTCF	Jaspar	247
266	MA0445.1	D	Jaspar	406
267	MA0174.1	Dbx	Jaspar	467
268	MA0185.1	Deaf1	Jaspar	523
269	MA0186.1	Dfd	Jaspar	431
270	MA0022.1	dl	Jaspar	489
271	MA0023.1	dl(var.2)	Jaspar	489
272	MA0187.1	Dll	Jaspar	468
273	MA1455.1	dmrt99B	Jaspar	362
274	MA0188.1	Dr	Jaspar	469
275	MA1456.1	Dref	Jaspar	256
276	MA0915.1	dve	Jaspar	358
277	MA0189.1	E5	Jaspar	470
278	MA0534.1	EcR::usp	Jaspar	493::509
279	MA0026.1	Eip74EF	Jaspar	368
280	MA0219.1	ems	Jaspar	471
281	MA0220.1	en	Jaspar	472
282	MA0916.1	Ets21C	Jaspar	369
283	MA0221.1	eve	Jaspar	432
284	MA0222.1	exd	Jaspar	613
285	MA0224.1	exex	Jaspar	473
286	MA0446.1	fkh	Jaspar	386
287	MA0225.1	ftz	Jaspar	433
288	MA0917.1	gcm2	Jaspar	400
289	MA1457.1	grh	Jaspar	530
290	MA0190.1	Gsc	Jaspar	566
291	MA0447.1	gt	Jaspar	69
292	MA0449.1	h	Jaspar	29
293	MA0448.1	H2.0	Jaspar	474
294	MA0049.1	hb	Jaspar	267
295	MA0226.1	hbn	Jaspar	567
296	MA0191.1	HGTX	Jaspar	475
297	MA0183.1	HHEX	Jaspar	476
298	MA0450.1	hkb	Jaspar	269
299	MA0192.1	Hmx	Jaspar	477
300	MA1458.1	Hsf	Jaspar	531
301	MA0227.1	hth	Jaspar	614
302	MA0228.1	ind	Jaspar	434
303	MA0229.1	inv	Jaspar	478
304	MA0451.1	kni	Jaspar	511
305	MA0452.2	Kr	Jaspar	278
306	MA0230.1	lab	Jaspar	435
307	MA0231.1	lbe	Jaspar	479
308	MA0232.1	lbl	Jaspar	480
309	MA0194.1	Lim1	Jaspar	445
310	MA0195.1	Lim3	Jaspar	446
311	MA0175.1	lms	Jaspar	481
312	MA1459.1	M1BP	Jaspar	285
313	MA0535.1	Mad	Jaspar	452
314	MA0233.1	mirr	Jaspar	615
315	MA0196.1	NK7.1	Jaspar	482
316	MA0197.2	nub	Jaspar	593
317	MA0234.1	oc	Jaspar	568
318	MA0454.1	odd	Jaspar	299
319	MA0198.1	OdsH	Jaspar	569
320	MA0235.1	onecut	Jaspar	359
321	MA0456.1	opa	Jaspar	301
322	MA0199.1	Optix	Jaspar	606
323	MA0236.1	otp	Jaspar	570
324	MA0126.1	ovo	Jaspar	304
325	MA0237.2	pan	Jaspar	412
326	MA0238.1	pb	Jaspar	436
327	MA1702.1	Pdp1	Jaspar	74
328	MA0457.1	PHDP	Jaspar	571
329	MA1460.1	pho	Jaspar	307
330	MA0536.1	pnr	Jaspar	397
331	MA0200.1	Pph13	Jaspar	572
332	MA0239.1	prd	Jaspar	557
333	MA0201.1	Ptx1	Jaspar	573
334	MA0240.1	repo	Jaspar	574
335	MA0241.1	ro	Jaspar	437
336	MA0202.1	Rx	Jaspar	575
337	MA0193.1	schlank	Jaspar	
338	MA0203.1	Scr	Jaspar	438
339	MA0243.1	sd	Jaspar	625
340	MA0204.1	Six4	Jaspar	607
341	MA0244.1	slbo	Jaspar	78
342	MA0245.1	slou	Jaspar	484
343	MA0458.1	slp1	Jaspar	392
344	MA0086.2	sna	Jaspar	325
345	MA0246.1	so	Jaspar	608
346	MA0532.1	Stat92E	Jaspar	543
347	MA0085.1	Su(H)	Jaspar	545
348	MA0533.1	su(Hw)	Jaspar	334
