	Total IC	Average IC	Length
Bergman_lab_motifs	12.968418499999999	1.3925334999999999	11.0
Cis-BP_insect_motifs	12.309847999999999	1.218142	10.0
Daniel_pollard_motifs	11.140203999999999	1.262715	10.0
FlyFactor_survey_motifs	12.201317	1.269765	9.0
JASPAR2020_CORE_insect_motifs	11.123178	1.396309	7.0
Smile-seq_motifs	12.9567645	1.127027	11.0
Wolf_lab_motifs	11.558105000000001	1.1603365	10.0
