ENCFF200EWT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR393QBI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/BtbVII-dmelanogaster/		dm3 3L 3147317 3167385		BtbVII-dmelanogaster	DNA					False	2017-01-11	modERN				1, 2, 3							ENCFF137SFK, ENCFF436OFW, ENCFF654LGA, ENCFF755HIY	116811	Kevin White, UChicago	eddb15995c315d819ee76164779fb100		https://www.encodeproject.org/files/ENCFF200EWT/@@download/ENCFF200EWT.bed.gz	dm6				released	s3://encode-public/2017/10/13/3a82a550-4b08-4538-8c33-fe6aa527af13/ENCFF200EWT.bed.gz				
ENCFF523DZS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR399FPR	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG7928-dmelanogaster/		dm3 3R 25848479 25869422		CG7928-dmelanogaster	DNA					False	2017-01-10	modERN				2, 3							ENCFF442OSU, ENCFF773BWN, ENCFF976IRF	65862	Kevin White, UChicago	cd6e647eb6e0cc0866caec3da4c931d4		https://www.encodeproject.org/files/ENCFF523DZS/@@download/ENCFF523DZS.bed.gz	dm6				released	s3://encode-public/2017/10/13/baa999ae-7d7d-42ea-abe3-6aec13d8bae4/ENCFF523DZS.bed.gz				
ENCFF404JNR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR121SPZ	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/crp-dmelanogaster/		dm3 2L 16189189 16291323		crp-dmelanogaster	DNA					False	2017-01-10	modERN				1, 2, 3							ENCFF599YFS, ENCFF751DUP, ENCFF852LLR, ENCFF912JNT	111126	Kevin White, UChicago	b5898722a606d512c83763b66fea0857		https://www.encodeproject.org/files/ENCFF404JNR/@@download/ENCFF404JNR.bed.gz	dm6				released	s3://encode-public/2017/10/13/df32b1b2-3e06-4bcb-98ba-cd966063e073/ENCFF404JNR.bed.gz				
ENCFF554HWG	bed narrowPeak	optimal IDR thresholded peaks	ENCSR801AQB	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/lilli-dmelanogaster/		dm3 2L 2866517 2968710		lilli-dmelanogaster	DNA					False	2016-07-06	modERN				1, 2, 3							ENCFF303TXW, ENCFF362SCV, ENCFF473HMB, ENCFF802XUC	144659	Kevin White, UChicago	71a34500bec7d56960e124b78f7e12f8		https://www.encodeproject.org/files/ENCFF554HWG/@@download/ENCFF554HWG.bed.gz	dm6				released	s3://encode-public/2017/10/13/e3ba8cb2-31f0-4ea3-a9fb-930e397b7056/ENCFF554HWG.bed.gz				
ENCFF386VVR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR756AUU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/sage-dmelanogaster/		dm3 3R 5081228 5098884		sage-dmelanogaster	DNA					False	2016-07-06	modERN				3, 4							ENCFF691UZU, ENCFF700KLJ, ENCFF894XOC	75412	Kevin White, UChicago	8dbbbde25757b687899de81023eacb6f		https://www.encodeproject.org/files/ENCFF386VVR/@@download/ENCFF386VVR.bed.gz	dm6				released	s3://encode-public/2017/10/13/da545ff4-d611-4e8e-9415-0e13012bf749/ENCFF386VVR.bed.gz				
ENCFF271JUU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR579WFC	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/kni-dmelanogaster/				kni-dmelanogaster	DNA					False	2017-11-22	modERN				1, 2, 3							ENCFF269KGW, ENCFF361XUK, ENCFF841WCX, ENCFF923IRB	140781	Kevin White, UChicago	02dd965ee25c50eaaae0af84e68b9f20		https://www.encodeproject.org/files/ENCFF271JUU/@@download/ENCFF271JUU.bed.gz	dm6				released	s3://encode-public/2017/09/18/5fc69776-5f47-412c-9841-95b11fbbe65d/ENCFF271JUU.bed.gz				
ENCFF729YEP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR233UXG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG6254-dmelanogaster/				CG6254-dmelanogaster	DNA					False	2017-11-22	modERN				1, 2, 3							ENCFF110CTT, ENCFF159IJM, ENCFF261NWZ, ENCFF855HMM	109661	Kevin White, UChicago	ab6d2f8a6505648c68796673bd9bc627		https://www.encodeproject.org/files/ENCFF729YEP/@@download/ENCFF729YEP.bed.gz	dm6				released	s3://encode-public/2017/09/18/2c9ab88a-7298-41e8-b4f1-1031d13c0471/ENCFF729YEP.bed.gz				
ENCFF880ZSE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR237AMN	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG14655-dmelanogaster/				CG14655-dmelanogaster	DNA					False	2017-11-22	modERN				1, 2, 3							ENCFF497NDK, ENCFF558EPC, ENCFF669YYL, ENCFF898PFI	228900	Kevin White, UChicago	c944a7068626923f33e09272f7c7e9e3		https://www.encodeproject.org/files/ENCFF880ZSE/@@download/ENCFF880ZSE.bed.gz	dm6				released	s3://encode-public/2017/09/19/28142734-dc65-4920-9361-f39f60f5a77d/ENCFF880ZSE.bed.gz				
ENCFF934NUU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR990VZW	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/lab-dmelanogaster/				lab-dmelanogaster	DNA					False	2017-11-22	modERN				1, 2, 3							ENCFF021DZN, ENCFF521BWI, ENCFF705IPB, ENCFF861GFD	227365	Kevin White, UChicago	cfe9ec21f549bcdbe6846a6b0f7d21da		https://www.encodeproject.org/files/ENCFF934NUU/@@download/ENCFF934NUU.bed.gz	dm6				released	s3://encode-public/2017/09/18/dc6b4ed4-6fa5-4058-b1be-cf3aee044e2d/ENCFF934NUU.bed.gz				
ENCFF603HCR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR894GQA	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/D-dmelanogaster/				D-dmelanogaster	DNA					False	2017-11-22	modERN				1, 2, 3							ENCFF236RWJ, ENCFF437UDM, ENCFF518PAR, ENCFF890UZS	107554	Kevin White, UChicago	852925534d11ce298c3fbbc1f3dc1df4		https://www.encodeproject.org/files/ENCFF603HCR/@@download/ENCFF603HCR.bed.gz	dm6				released	s3://encode-public/2017/09/18/acb8105c-668b-4c08-951a-ecc9a4105558/ENCFF603HCR.bed.gz				
ENCFF266DFC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR248JJL	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/chn-dmelanogaster/		dm3 2R 10935437 11033422		chn-dmelanogaster	DNA					False	2016-07-06	modERN				1, 2							ENCFF418QSH, ENCFF539LDZ, ENCFF706GAY	93200	Kevin White, UChicago	68ed961ddf03038fa37a4014645424d6		https://www.encodeproject.org/files/ENCFF266DFC/@@download/ENCFF266DFC.bed.gz	dm6				released	s3://encode-public/2017/10/13/f4ed8490-f04d-49b2-aa1f-81fd04a2a29e/ENCFF266DFC.bed.gz				
ENCFF430LYD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR661BEZ	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CTCF-dmelanogaster/		dm3 3L 7345433 7363463		CTCF-dmelanogaster	DNA					False	2017-01-11	modERN				2, 3							ENCFF348MMI, ENCFF405IEA, ENCFF826ZIT	111397	Kevin White, UChicago	6dd913434f8a640b524c1b9e129aca33		https://www.encodeproject.org/files/ENCFF430LYD/@@download/ENCFF430LYD.bed.gz	dm6				released	s3://encode-public/2017/10/13/859ce746-30c6-4028-8db0-ca951f319290/ENCFF430LYD.bed.gz				
ENCFF115IAV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR336HCG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG30431-dmelanogaster/		dm3 2R 2075044 2096858		CG30431-dmelanogaster	DNA					False	2017-01-10	modERN				1, 2							ENCFF233VFU, ENCFF245MXJ, ENCFF276NCT	77051	Kevin White, UChicago	98f28f5e4470c6318acd027cefb89adf		https://www.encodeproject.org/files/ENCFF115IAV/@@download/ENCFF115IAV.bed.gz	dm6				released	s3://encode-public/2017/10/13/fd0ebc46-2471-457c-8395-ddc227ab1cc8/ENCFF115IAV.bed.gz				
ENCFF767QWV	bed narrowPeak	optimal IDR thresholded peaks	ENCSR761TCG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/su%28Hw%29-dmelanogaster/		dm3 3R 14303909 14322575		su(Hw)-dmelanogaster	DNA					False	2017-01-10	modERN				1, 2, 3							ENCFF285JZZ, ENCFF554XHC, ENCFF639JZK, ENCFF697ZTU	133350	Kevin White, UChicago	af42dd5e8ad2e9580bb99825cba5f89d		https://www.encodeproject.org/files/ENCFF767QWV/@@download/ENCFF767QWV.bed.gz	dm6				released	s3://encode-public/2017/10/13/89e71d66-056f-4681-a4a3-b6b2842fcc61/ENCFF767QWV.bed.gz				
ENCFF816HWP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR005MLL	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Pdp1-dmelanogaster/				Pdp1-dmelanogaster	DNA					False	2016-07-06	modERN				1, 2, 3							ENCFF449TMK, ENCFF568PIJ, ENCFF803COZ, ENCFF913HEB	90198	Kevin White, UChicago	8c9ea48b73bd4492d7d023ce76831c13		https://www.encodeproject.org/files/ENCFF816HWP/@@download/ENCFF816HWP.bed.gz	dm6				released	s3://encode-public/2017/10/13/10eac3b2-3c6a-46da-a803-1625b6f55aee/ENCFF816HWP.bed.gz				
ENCFF388SSE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR239MPW	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/caup-dmelanogaster/		dm3 3L 12568833 12655247		caup-dmelanogaster	DNA					False	2017-11-22	modERN				1, 2, 3							ENCFF201JFK, ENCFF314ANW, ENCFF432URK, ENCFF995UUG	122698	Kevin White, UChicago	cb0884242fac0096b8b8394607b97910		https://www.encodeproject.org/files/ENCFF388SSE/@@download/ENCFF388SSE.bed.gz	dm6				released	s3://encode-public/2017/09/19/efad1ef3-a3f0-4ddb-b06d-4706a83b1e53/ENCFF388SSE.bed.gz				
ENCFF829QJB	bed narrowPeak	optimal IDR thresholded peaks	ENCSR292WNJ	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/pfk-dmelanogaster/		dm3 3L 3152353 3174318		pfk-dmelanogaster	DNA					False	2018-02-05	modERN				1, 2							ENCFF115BXQ, ENCFF452MAL, ENCFF665CUT	58111	Kevin White, UChicago	07b45cdce4ed38004d3d36edf67a5deb		https://www.encodeproject.org/files/ENCFF829QJB/@@download/ENCFF829QJB.bed.gz	dm6				released	s3://encode-public/2018/02/03/cc424c57-1762-4dd8-ba31-af1bffa7c64b/ENCFF829QJB.bed.gz				
