2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR139RDU/	ENCSR139RDU	CG12942	CG12942	FactorBook:ENCSR139RDU
/experiments/ENCSR340CQF/	ENCSR340CQF	CG15073	CG15073	FactorBook:ENCSR340CQF
/experiments/ENCSR291ZDB/	ENCSR291ZDB	CG4424	CG4424	FactorBook:ENCSR291ZDB
/experiments/ENCSR951FDL/	ENCSR951FDL	rgr	rgr	FactorBook:ENCSR951FDL
/experiments/ENCSR423GBK/	ENCSR423GBK	fd85E	FoxP	FactorBook:ENCSR423GBK
/experiments/ENCSR150QNB/	ENCSR150QNB	Eip74EF	Eip74EF	FactorBook:ENCSR150QNB
/experiments/ENCSR143AWF/	ENCSR143AWF	CG18262	CG18262	FactorBook:ENCSR143AWF
/experiments/ENCSR709YEU/	ENCSR709YEU	CG2678	CG2678	FactorBook:ENCSR709YEU
/experiments/ENCSR128VHN/	ENCSR128VHN	dsx	dsx	FactorBook:ENCSR128VHN
/experiments/ENCSR472URU/	ENCSR472URU	gl	gl	FactorBook:ENCSR472URU
/experiments/ENCSR021VXG/	ENCSR021VXG	CG10209	CG10209	FactorBook:ENCSR021VXG
/experiments/ENCSR844XMJ/	ENCSR844XMJ	CG10431	CG10431	FactorBook:ENCSR844XMJ
/experiments/ENCSR033ZHC/	ENCSR033ZHC	CG7101	CG7101	FactorBook:ENCSR033ZHC
/experiments/ENCSR064GFC/	ENCSR064GFC	tin	tin	FactorBook:ENCSR064GFC
/experiments/ENCSR521NPD/	ENCSR521NPD	CG12071	CG12071	FactorBook:ENCSR521NPD
/experiments/ENCSR418YJE/	ENCSR418YJE	CG3919	CG3919	FactorBook:ENCSR418YJE
/experiments/ENCSR985TNB/	ENCSR985TNB	foxo	foxo	FactorBook:ENCSR985TNB
/experiments/ENCSR959SWC/	ENCSR959SWC	achi	achi	FactorBook:ENCSR959SWC
/experiments/ENCSR836VAV/	ENCSR836VAV	usp	usp	FactorBook:ENCSR836VAV
/experiments/ENCSR826CFP/	ENCSR826CFP	CG11762	ouib	FactorBook:ENCSR826CFP
