Motif	ENCFF922NXU	ENCFF897SXY	ENCFF102VYM	ENCFF446GXF	Average
4991_usp_DrosophilaTF	1.0	0.0	1.0	0.0	0.5
M02709_2.00	0.1229946524064171	0.0	1.0	0.0	0.2807486631016043
M06426_2.00	0.0	1.0	0.0	0.0	0.25
M11192_2.00	0.9786096256684492	0.0	0.0	0.0	0.2446524064171123
M11191_2.00	0.6310160427807486	0.0	0.0	0.0	0.15775401069518716
M09689_2.00	0.5080213903743315	0.0	0.0	0.0	0.12700534759358287
MA0016.1	0.29946524064171126	0.0	0.0	0.0	0.07486631016042782
usp_SANGER_5_FBgn0003964	0.0160427807486631	0.0	0.0	0.0	0.004010695187165775
M03934_2.00	0.0	0.0	0.0	0.0	0.0
